eventid;iyear;imonth;iday;approxdate;extended;resolution;country;country_txt;region;region_txt;provstate;city;latitude;longitude;specificity;vicinity;location;summary;crit1;crit2;crit3;doubtterr;alternative;alternative_txt;multiple;success;suicide;attacktype1;attacktype1_txt;attacktype2;attacktype2_txt;attacktype3;attacktype3_txt;targtype1;targtype1_txt;targsubtype1;targsubtype1_txt;corp1;target1;natlty1;natlty1_txt;targtype2;targtype2_txt;targsubtype2;targsubtype2_txt;corp2;target2;natlty2;natlty2_txt;targtype3;targtype3_txt;targsubtype3;targsubtype3_txt;corp3;target3;natlty3;natlty3_txt;gname;gsubname;gname2;gsubname2;gname3;ingroup;ingroup2;ingroup3;gsubname3;motive;guncertain1;guncertain2;guncertain3;nperps;nperpcap;claimed;claimmode;claimmode_txt;claim2;claimmode2;claimmode2_txt;claim3;claimmode3;claimmode3_txt;compclaim;weaptype1;weaptype1_txt;weapsubtype1;weapsubtype1_txt;weaptype2;weaptype2_txt;weapsubtype2;weapsubtype2_txt;weaptype3;weaptype3_txt;weapsubtype3;weapsubtype3_txt;weaptype4;weaptype4_txt;weapsubtype4;weapsubtype4_txt;weapdetail;nkill;nkillus;nkillter;nwound;nwoundus;nwoundte;property;propextent;propextent_txt;propvalue;propcomment;ishostkid;nhostkid;nhostkidus;nhours;ndays;divert;kidhijcountry;ransom;ransomamt;ransomamtus;ransompaid;ransompaidus;ransomnote;hostkidoutcome;hostkidoutcome_txt;nreleased;addnotes;scite1;scite2;scite3;dbsource;INT_LOG;INT_IDEO;INT_MISC;INT_ANY;related
1,99004E+11;1990;4;27;;0;;217;United States;1;North America;Virginia;Virginia Beach;36.848311;-75.979278;1;0;;4/27/1990: Unknown perpetrators sent a mail bomb to the Christian Broadcasting Network in Virginia Beach, Virginia, United States.  The package was addressed to Reverend Pat Robertson who, at the time, had a television show on the station.  The device was detonated when William Scheepers, a security guard, opened the package in the mailroom of the complex.  Scheepers was wounded but survived his injuries.;1;1;1;0;;.;0;1;0;3;Bombing/Explosion;;.;;.;15;Religious Figures/Institutions;85;Religious Figure;Christian Broadcasting Network;Reverend Pat Robertson;217;United States;;.;;.;;;;.;;.;;.;;;;.;Unknown;;;;;-9;;;;;0;;;-99;-99;0;;.;;;.;;;.;;6;Explosives/Bombs/Dynamite;9;Letter Bomb;;.;;.;;.;;.;;.;;.;Explosive device placed in a six inch package;0;0;0;1;1;0;0;;.;;;0;;;;;;;0;;;;;;;.;;The bomb detonated at 12:34 PM.  The package was mailed on April 20, 1990.  Authorities believe that this incident is connected with the mail bombing of John Onsteen's Lakewood Church on January 30, 1990 (J$).  Both devices listed a return address from Fayetteville, North Carolina.  Seven months later, a fake mail bomb was sent to the Christian Broadcasting Network addressed to Pat Robertson (199011070012).  Authorities also believe that this incident was linked to another mail bomb sent to Robertson in 1996 because, in both instances, the explosive devices were similar (199601120006).;"Mitchell Miller, ""Letter Bomb Addressed to Robertson Injures One,"" United Press International, April 27, 1990.";"D.W. Page, ""Security Guard Injured in Explosion at CBN,"" Associated Press, April 27, 1990.";"""Similarities Noted Between Two Religious Bombings,"" Associated Press, April 29, 1990.";Hewitt Project;-9;-9;0;-9;
1,99004E+11;1990;4;28;;0;;217;United States;1;North America;New York;New York City;40.71455;-74.007124;1;0;Greenwich Village;"04/28/1990: An explosive device placed in a garbage bin detonated inside a nightclub in New York City, New York, United States. Three people suffered minor injuries. Reports described the device as a homemade pipe bomb and described the target of the attack, Uncle Charlie's Downtown, as a ""well-known gay hangout."" No group claimed responsibility for the attack. Police noted that no threats had been made and there was no evidence that the attack was motivated by bias. However, Mayor David N. Dinkins and many observers were confident that the target itself was indicative of an ideological motive, and noted that anti-bias crime legislation was pending in the State Senate at the time of the attack.";1;1;1;0;;.;0;1;0;3;Bombing/Explosion;;.;;.;1;Business;2;Restaurant/Bar/Café;Uncle Charlie's Downtown;Nightclub;217;United States;;.;;.;;;;.;;.;;.;;;;.;Unknown;;;;;-9;;;;;0;;;-99;0;0;;.;;;.;;;.;;6;Explosives/Bombs/Dynamite;17;Other Explosive Type;;.;;.;;.;;.;;.;;.;Several M-80 firecrackers were stuffed into a six-inch length of pipe with both ends capped. The bomb did not have a timing device;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,99005E+11;1990;5;9;;0;;217;United States;1;North America;Oregon;Portland;45.511795;-122.675629;1;0;Fire set in examination room;5/9/1990: Daniel J. Carver set a fire at the Lovejoy Surgi-Center in Portland, Oregon, United States.  There were no casualties, but the abortion clinic sustained $30,000 in damages.;1;1;1;0;;.;0;1;0;7;Facility/Infrastructure Attack;;.;;.;5;Abortion Related;40;Clinics;;Lovejoy Surgi-Center;217;United States;;.;;.;;;;.;;.;;.;;;;.;Anti-Abortion Activists;;;;;1470;;;;To protest the practice of abortion and to sabotage abortion facilities operating in Oregon.;0;;;1;1;0;;.;;;.;;;.;;8;Incendiary;20;Gasoline or Alcohol;;.;;.;;.;;.;;.;;.;Fire ignited using gasoline;0;0;0;0;0;0;1;3;Minor (likely < $1 million);30000;Examination table destroyed and other equipment damaged.;0;;;;;;;0;;;;;;;.;;This incident took place at 9:15 PM.  A quick thinking neighbor entered the building shortly after to extinguish the fire, preventing further damages.  A container of gasoline was discovered where the fire was ignited.  The abortion clinic had previously been the target of many protests.;"""Fire Causes $15,000 damage to Lovejoy Surgicenter.  A Battalion Chief Reports That Firefighters Found a Gasoline Can in the Examining room Where the Blaze Broke,"" The Oregonian, May 10, 1990.";"""Transient Indicted in Lovejoy Arson. Authorities Don't Know Motive for Fire at Clinic that Performs Abortions,"" The Oregonian, June 2, 1990.";"Sura Rubenstein. ""Lovejoy's Klass is Angry About Fire.  The Surgicenter's Administrator Says They Aren't Frightened by the Apparent Arson,"" The Oregonian, May 11, 1990.";Anti-Abortion Project 2010;-9;-9;0;-9;
1,99005E+11;1990;5;10;;0;;217;United States;1;North America;California;Cloverdale;38.8061;-123.017709;1;0;;5/10/1990:  Unknown perpetrators placed a bomb at a Louisiana Pacific sawmill in Cloverdale, California, United States.  The device exploded but only caused minor damage.  It is suspected that the perpetrators were not environmentalist, but were attempting to carry out a false flag operation so that the blame would be placed on Judi Bari and Northern California Earth First!.;1;1;1;0;;.;0;1;0;3;Bombing/Explosion;;.;;.;1;Business;5;Industrial/Textiles/Factory;Louisiana Pacific;Louisiana Pacific sawmill in Cloverdale California;217;United States;;.;;.;;;;.;;.;;.;;;;.;Anti-Environmentalist;;;;;10003;;;;;0;;;-99;-99;0;;.;;;.;;;.;;6;Explosives/Bombs/Dynamite;17;Other Explosive Type;;.;;.;;.;;.;;.;;.;A pipe bomb strapped to a can of gasoline was used in the attack.;0;0;0;0;0;0;1;3;Minor (likely < $1 million);;;0;;;;;;;0;;;;;;;.;;"The can of gasoline did not ignite when the bomb exploded.  A cardboard sign was found near the bomb that read ""LP screws millworkers.""  This was a phrase widely used by environmentalists such as Judi Bari.  However, the pipe bomb in this incident was similar to the explosive device used in the bombing of Bari's car  that occurred two weeks after the attack on the sawmill (199005240021).  On May 29th, 1990, the Santa Rosa Press Democrat received a letter from an anonymous individual, referring to himself as ""the Lord's Avenger,"" claiming that he bombed the sawmill to frame Bari.  The Lord's Avenger also claimed to have bombed Bari's car.  It is widely believed that this letter is a hoax.";"Will Harper, ""The Unsolved Mysteries of Judi Bari,"" East Bay Express, September 12, 2001.";"Katherine Bishop, ""F.B.I. Studying Letter on Blast That Injured 2,"" New York Times, June 1, 1990.";"Evelyn Nieves, ""Truth Is Still Elusive In 1990 Pipe Bombing ,"" New York Times, June 16, 2002.";Hewitt Project;-9;-9;0;-9;
1,99005E+11;1990;5;20;;0;;217;United States;1;North America;New York;New York City;40.712784;-74.005941;1;0;;;1;1;1;0;;.;0;1;0;3;Bombing/Explosion;;.;;.;14;Private Citizens & Property;78;Procession/Gathering (funeral, wedding, birthday, religious);;Jewish Group meeting at Sheraton Hotel;217;United States;;.;;.;;;;.;;.;;.;;;;.;Unknown;;;;;-9;;;;;0;;;;;;;.;;;.;;;.;;6;Explosives/Bombs/Dynamite;16;Unknown Explosive Type;;.;;.;;.;;.;;.;;.;Explosive;0;;;0;;;1;;.;;;0;;;;;;;0;;;;;;;.;;;;;;PGIS;-9;-9;0;-9;
1,99005E+11;1990;5;23;;0;;217;United States;1;North America;New York;New York City;40.712784;-74.005941;1;0;;;1;1;1;0;;.;0;1;0;3;Bombing/Explosion;;.;;.;14;Private Citizens & Property;78;Procession/Gathering (funeral, wedding, birthday, religious);;Jewish Group meeting at New York Hilton;217;United States;;.;;.;;;;.;;.;;.;;;;.;Unknown;;;;;-9;;;;;0;;;;;;;.;;;.;;;.;;6;Explosives/Bombs/Dynamite;16;Unknown Explosive Type;;.;;.;;.;;.;;.;;.;Explosive;0;;;0;;;1;;.;;;0;;;;;;;0;;;;;;;.;;;;;;PGIS;-9;-9;0;-9;
1,99005E+11;1990;5;23;;0;;217;United States;1;North America;New York;Syracuse;43.04999;-76.147389;1;0;;5/23/1990: Shari DiNicola set a fire at the Planned Parenthood of Syracuse in New York, United States.  There were no casualties, but the abortion clinic sustained $570 in damages.;1;1;1;0;;.;0;1;0;7;Facility/Infrastructure Attack;;.;;.;5;Abortion Related;40;Clinics;Planned Parenthood;Planned Parenthood of Syracuse;217;United States;;.;;.;;;;.;;.;;.;;;;.;Anti-Abortion Activists;;;;;1470;;;;To protest the practice of abortion and to sabotage abortion facilities operating in New York.  Moreover, DiNicola was furious by a supreme court decision banning protesters from blocking abortion clinics.;0;;;1;1;0;;.;;;.;;;.;;8;Incendiary;18;Arson/Fire;;.;;.;;.;;.;;.;;.;;0;0;0;0;0;0;1;3;Minor (likely < $1 million);570;;0;;;;;;;0;;;;;;;.;;This incident occurred two days after the Supreme Court banned protesters from blocking abortion clinics.;"""Accused Arsonist Says She Was Angered By Court Abortion Decision,"" Associated Press, May 30, 1990.";"""Across the USA: News From Every State,"" USA Today, March 8, 1991.";"""Chronological History of Arsons and Bombings Against Abortion Providers,"" National Abortion Federation.";Anti-Abortion Project 2010;-9;-9;0;-9;
1,99005E+11;1990;5;24;;0;;217;United States;1;North America;California;Oakland;37.805065;-122.273024;1;0;;5/24/1990:  Unknown perpetrators placed a pipe bomb underneath the front seat of a Subaru station wagon belonging to Judi Bari, a leader of the environmentalist group Northern California Earth First!.  The bomb detonated while Bari and fellow environmental activist Darryl Cherney were driving from Oakland to Santa Cruz, California, United States.  Bari and Cherney both sustained injuries and the car was damaged.;1;1;1;0;;.;0;1;0;3;Bombing/Explosion;;.;;.;14;Private Citizens & Property;83;Protester;Leader of Northern California Earth First!;Judi Bari;217;United States;;.;;.;;;;.;;.;;.;;;;.;Anti-Environmentalist;;;;;10003;;;;;0;;;-99;-99;0;;.;;;.;;;.;;6;Explosives/Bombs/Dynamite;14;Time Fuse;;.;;.;;.;;.;;.;;.;Pipe bomb, filled with nails, connected to a motion trigger and a timing device;0;0;0;2;2;0;1;3;Minor (likely < $1 million);;Car damaged;0;;;;;;;0;;;;;;;.;;"The explosive device detonated at 11:50 AM, as Judi Bari was driving past Oakland High School.  Authorities originally arrested Bari and Darryl Cherney, accusing them of illegally transporting bombs.  However, six months later Bari and Cherney were released due to a lack of evidence.  In 2002, their estates were awarded $4.4 million because it was determined that their civil rights were violated by the FBI and the Oakland Police Department.  The pipe bomb in this incident was similar to the explosive device used in the attack on the Louisiana Pacifica Sawmill in Cloverdale California two weeks prior to the attack on Bari (199005100013).  On May 29th, 1990, the Santa Rosa Press Democrat received a letter from an anonymous individual, referring to himself as ""the Lord's Avenger,"" claiming that he bombed Bari's vehicle because of her pro-choice activism.  The Lord's Avenger also claimed to have bombed the Louisiana Pacific sawmill to frame Bari.  It is widely believed that this letter is a hoax.";"Will Harper, ""The Unsolved Mysteries of Judi Bari,"" East Bay Express, September 12, 2001.";"Katherine Bishop, ""F.B.I. Studying Letter on Blast That Injured 2,"" New York Times, June 1, 1990.";"Evelyn Nieves, ""Truth Is Still Elusive In 1990 Pipe Bombing ,"" New York Times, June 16, 2002.";Hewitt Project;-9;-9;0;-9;
1,99005E+11;1990;5;27;;0;;217;United States;1;North America;Puerto Rico;Mayaguez;18.201318;-67.145125;1;0;;5/27/1990: Puerto Rican nationalists broke into the Puerto Rican Army National Guard compound in Mayaguez, Puerto Rico and set fire to two trucks.  One of the trucks was destroyed and the other truck was heavily damaged.  There were no casualties.;1;1;1;0;;.;0;1;0;7;Facility/Infrastructure Attack;;.;;.;4;Military;27;Military Barracks/Base/Headquarters/Checkpost;Puerto Rican Army National Guard;Puerto Rican Army National Guard compound, Mayaguez Puerto Rico;163;Puerto Rico;;.;;.;;;;.;;.;;.;;;;.;Puerto Rican Nationalists;;;;;4293;;;;;0;;;-99;-99;0;;.;;;.;;;.;;8;Incendiary;18;Arson/Fire;;.;;.;;.;;.;;.;;.;Set fire to two trucks;0;0;0;0;0;0;1;3;Minor (likely < $1 million);;One truck destroyed and one truck damaged;0;;;;;;;0;;;;;;;.;;The perpetrators entered the compound by cutting through a chain link fence.;"""Terrorism in the United States 1990,"" Terrorist Research and Analytical Center, Counterterrorism Section Criminal Investigative Division, FBI, 1990.";"Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.";;Hewitt Project;0;0;0;0;
1,99006E+11;1990;6;10;;0;;217;United States;1;North America;Tennessee;Nashville;36.167783;-86.778365;1;0;;6/10/1990:  Leonard William Armstrong, the head of the Tennessee White Knights of the Ku Klux Klan, and Damion Patton, a Skinhead, drove to the West End Synagogue in Nashville, Tennessee, United States, in the middle of the night, and Armstrong fired several shots into the Jewish temple;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
